pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
50,c,2,2,10,2,,,,,31.061271666025277,32.0446365410171,32.0446365410171,32.0446365410171,32.0446365410171,32.06128187500872,33.04500741601805,33.04500741601805,c,1,0.24378666700795293,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
-150,z,2,3,11,3,,,,,33.310955916007515,34.31230112499907,34.31230112499907,34.31230112499907,34.31230112499907,34.31230112499907,35.31165925000096,35.31165925000096,z,1,0.2897456669888925,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
-50,x,3,0,12,0,,,,,35.628177125006914,36.6286542910093,36.6286542910093,36.6286542910093,36.6286542910093,36.6286542910093,37.628260708006565,37.628260708006565,x,1,0.25867783298599534,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
150,v,3,1,13,1,,,,,37.91156208299799,38.911577375023626,38.911577375023626,38.911577375023626,38.911577375023626,38.911577375023626,39.89510970801348,39.89510970801348,v,1,0.24760937498649582,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
50,c,3,2,14,2,,,,,40.16183004100458,41.161769791011466,41.161769791011466,41.161769791011466,41.161769791011466,41.161769791011466,42.144943291001255,42.144943291001255,c,1,0.3300413330143783,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
-150,z,3,3,15,3,,,,,42.494884708023164,43.495370916003594,43.495370916003594,43.495370916003594,43.495370916003594,43.495370916003594,44.4782564160123,44.4782564160123,z,1,0.29832775000249967,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
-50,x,4,0,16,0,,,,,44.79515479100519,45.778517375001684,45.778517375001684,45.778517375001684,45.778517375001684,45.795201000000816,46.778627416002564,46.778627416002564,x,1,0.2819037919980474,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
150,v,4,1,17,1,,,,,47.07874366600299,48.06224666599883,48.06224666599883,48.06224666599883,48.06224666599883,48.07893395802239,49.078821833012626,49.078821833012626,v,1,0.2485489169775974,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
50,c,4,2,18,2,,,,,49.34529029100668,50.32885625000927,50.32885625000927,50.32885625000927,50.32885625000927,50.345543833012925,51.32911037502345,51.32911037502345,c,1,0.5648120419937186,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
-150,z,4,3,19,3,,,,,51.91218970800401,52.89563470802386,52.89563470802386,52.89563470802386,52.89563470802386,52.91232629099977,53.895839583012275,53.895839583012275,z,1,0.32416166699840687,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
-50,x,5,0,20,0,,,,,54.24529587500729,55.228982708009426,55.228982708009426,55.228982708009426,55.228982708009426,55.24552237501484,56.245470458001364,56.245470458001364,x,1,0.27456187500501983,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
150,v,5,1,21,1,,,,,56.54537262499798,57.52885779101052,57.52885779101052,57.52885779101052,57.52885779101052,57.54604666601517,58.529336041014176,58.529336041014176,v,1,0.8785255829861853,0.0036095830146223307,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
50,c,5,2,22,2,,,,,59.428432833025,60.42926958302269,60.42926958302269,60.42926958302269,60.42926958302269,60.42926958302269,61.42902487501851,61.42902487501851,c,1,0.32699187501566485,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
