staircase.thisTrialN,staircase.stepSize,staircase.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,corrAns,tilt,key_resp.corr,staircase.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate
41,2,1,61.47297633,61.95585767,61.95585767,61.97284733,62.25707629,right,1,1,1,0.769760167,607473,1,2023-09-01_11h35.41.012,Adaptive staircase,2023.1.3,60.04922523
42,2,1,62.75601088,63.24053613,63.24053613,63.25724775,63.54039837,right,1,1,1,0.548299249,607473,1,2023-09-01_11h35.41.012,Adaptive staircase,2023.1.3,60.04922523
43,2,1,63.80737454,64.29056683,64.29056683,64.30715442,64.59043683,right,1,1,1,0.93219125,607473,1,2023-09-01_11h35.41.012,Adaptive staircase,2023.1.3,60.04922523
44,2,1,65.24067642,65.74050321,65.74050321,65.74050321,66.04043267,right,1,1,1,0.528121,607473,1,2023-09-01_11h35.41.012,Adaptive staircase,2023.1.3,60.04922523
45,2,1,66.29061738,66.77392858,66.77392858,66.79032633,67.07386629,left,-1,1,1,0.858715666,607473,1,2023-09-01_11h35.41.012,Adaptive staircase,2023.1.3,60.04922523
46,2,1,67.65742533,68.15730263,68.15730263,68.15730263,68.47302558,right,1,1,1,0.617130249,607473,1,2023-09-01_11h35.41.012,Adaptive staircase,2023.1.3,60.04922523
47,2,1,68.78973396,69.27393846,69.27393846,69.28941583,69.57279104,left,-1,1,1,0.753764666,607473,1,2023-09-01_11h35.41.012,Adaptive staircase,2023.1.3,60.04922523
48,2,1,70.0568485,70.54077433,70.54077433,70.55657254,70.85731433,left,-1,1,1,0.583359416,607473,1,2023-09-01_11h35.41.012,Adaptive staircase,2023.1.3,60.04922523
49,2,1,71.13967638,71.63948271,71.63948271,71.63948271,71.94075775,left,-1,1,1,0.471522666,607473,1,2023-09-01_11h35.41.012,Adaptive staircase,2023.1.3,60.04922523
50,2,1,72.14170033,72.62310813,72.62310813,72.65727458,72.92403958,right,1,1,1,0.461145417,607473,1,2023-09-01_11h35.41.012,Adaptive staircase,2023.1.3,60.04922523
51,2,1,73.10638325,73.59074796,73.59074796,73.60731692,73.89066667,right,1,1,1,0.523063208,607473,1,2023-09-01_11h35.41.012,Adaptive staircase,2023.1.3,60.04922523
52,2,1,74.1408405,74.62418292,74.62418292,74.64081929,74.92462446,right,1,1,1,0.437424042,607473,1,2023-09-01_11h35.41.012,Adaptive staircase,2023.1.3,60.04922523
53,1,1,75.09097742,75.5741135,75.5741135,75.5908375,75.8740365,left,-1,0,0,0.367265999,607473,1,2023-09-01_11h35.41.012,Adaptive staircase,2023.1.3,60.04922523
54,1,2,75.97428279,76.4575735,76.4575735,76.47415525,76.75752754,right,2,1,1,0.47262925,607473,1,2023-09-01_11h35.41.012,Adaptive staircase,2023.1.3,60.04922523
55,1,2,76.95765958,77.44094292,77.44094292,77.45756746,77.74084525,right,2,1,1,0.668694416,607473,1,2023-09-01_11h35.41.012,Adaptive staircase,2023.1.3,60.04922523
56,1,2,78.14098104,78.62289192,78.62289192,78.65657654,78.92292779,right,2,1,1,0.476400041,607473,1,2023-09-01_11h35.41.012,Adaptive staircase,2023.1.3,60.04922523
57,1,1,79.12449375,79.60827204,79.60827204,79.62341833,79.9246125,right,1,1,1,0.449254583,607473,1,2023-09-01_11h35.41.012,Adaptive staircase,2023.1.3,60.04922523
58,1,1,80.075404,80.55652292,80.55652292,80.59010162,80.85674625,left,-1,1,1,0.801827708,607473,1,2023-09-01_11h35.41.012,Adaptive staircase,2023.1.3,60.04922523
59,1,1,81.39101683,81.8736025,81.8736025,81.89117271,82.17279663,left,-1,1,1,0.501057749,607473,1,2023-09-01_11h35.41.012,Adaptive staircase,2023.1.3,60.04922523
60,1,1,82.390026,82.88981396,82.88981396,82.88981396,83.19110408,right,1,1,1,0.778245291,607473,1,2023-09-01_11h35.41.012,Adaptive staircase,2023.1.3,60.04922523
61,1,1,83.69253279,84.17445242,84.17445242,84.20772821,84.47473163,right,1,1,1,0.592206874,607473,1,2023-09-01_11h35.41.012,Adaptive staircase,2023.1.3,60.04922523
62,1,1,84.79135713,85.29112454,85.29112454,85.29112454,85.59103042,right,1,1,1,1.160468291,607473,1,2023-09-01_11h35.41.012,Adaptive staircase,2023.1.3,60.04922523
63,1,1,86.47470862,86.97450279,86.97450279,86.97450279,87.27429667,right,1,1,1,0.576626666,607473,1,2023-09-01_11h35.41.012,Adaptive staircase,2023.1.3,60.04922523
64,0.5,1,87.57470042,88.057842,88.057842,88.07434146,88.35661138,left,-1,0,0,0.543970666,607473,1,2023-09-01_11h35.41.012,Adaptive staircase,2023.1.3,60.04922523
65,0.5,1.5,88.62506525,89.10659237,89.10659237,89.14148996,89.40800546,left,-1.5,1,1,0.567228833,607473,1,2023-09-01_11h35.41.012,Adaptive staircase,2023.1.3,60.04922523
66,0.5,1.5,89.69012013,90.17340362,90.17340362,90.19051,90.47512375,right,1.5,1,1,0.57476525,607473,1,2023-09-01_11h35.41.012,Adaptive staircase,2023.1.3,60.04922523
67,0.5,1.5,90.77383162,91.25697829,91.25697829,91.27542546,91.55640529,right,1.5,1,1,0.633612208,607473,1,2023-09-01_11h35.41.012,Adaptive staircase,2023.1.3,60.04922523
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
